country,port,berth,cargo_category,cargo_type,max_draft,max_loa,max_beam
Australia,Port of Brisbane,Fisherman Islands Berths 1-10,Liquid Bulk,Oil,11.29,277.4,38.8
Australia,Fremantle Port,Inner Harbour Berths 1-10,Dry Bulk,Breakbulk,10.93,247.8,36.6
Russia,Port of Murmansk,Commercial Port / Coal Pier,Dry Bulk,Metals,11.03,299.5,34.4
Australia,Port of Darwin,East Arm Wharf / Fort Hill Wharf,Dry Bulk,General Cargo,11.47,248.8,28.8
United States,Port of Savannah,Garden City Terminal / Ocean Terminal,Dry Bulk,Heavy Machinery,14.57,227.8,33.6
United States,Port of Los Angeles,Pier 400 / APM Terminals / YTI,Liquid Bulk,Crude Oil,12.06,332.1,57.6
Australia,Port of Melbourne,Swanson Dock / Webb Dock / Appleton Dock,Dry Bulk,Breakbulk,9.56,247.8,37.8
Indonesia,Port of Tanjung Emas,Semarang Container Terminal - TPJS,Dry Bulk,Furniture,9.64,166.3,23.7
Australia,Port of Melbourne,Swanson Dock / Webb Dock / Appleton Dock,Dry Bulk,Breakbulk,11.6,347.3,36.3
Mozambique,Port of Beira,Berths 1-10,Dry Bulk,Tobacco,9.48,224.1,21.6
Russia,Port of Murmansk,Commercial Port / Coal Pier,Dry Bulk,Metals,10.73,292.9,34.8
United States,Port of Los Angeles,Pier 400 / APM Terminals / YTI,Liquid Bulk,Crude Oil,15.3,237,58.8
United States,Port of Long Beach,Pier T / Pier G / Pier E,Dry Bulk,Steel Products,12.97,383.7,44.9
Mozambique,Port of Quelimane,Coastal Wharf,Dry Bulk,Agricultural Produce,4.49,141.9,21.1
Mozambique,Port of Beira,Berths 1-10,Dry Bulk,Tobacco,7.9,179.1,29.9
Australia,Fremantle Port,Inner Harbour Berths 1-10,Dry Bulk,Livestock,9.95,251.3,33.6
Australia,Port of Brisbane,Fisherman Islands Berths 1-10,Dry Bulk,Grain,12.67,257.8,42.2
Australia,Port of Sydney / Port Botany,Brotherson Dock B1-B5 / Bulk Liquids Berth,Liquid Bulk,Chemicals,13.52,317.3,38.7
Russia,Port of Ust-Luga,Multi-Purpose Cargo Terminal / Oil Terminal,Liquid Bulk,Crude Oil,11.81,228.5,46.6
Indonesia,Port of Tanjung Priok,JICT - Jakarta International Container Terminal,Dry Bulk,General Cargo,13.49,321.8,30.9
Indonesia,Port of Tanjung Emas,Semarang Container Terminal - TPJS,Dry Bulk,Wood,8.03,138,20.5
Indonesia,Port of Makassar,Soekarno-Hatta Terminal,Dry Bulk,Inter-island Freight,7.42,136.6,23.2
Indonesia,Port of Tanjung Perak,Terminal Petikemas Surabaya - TPS,Dry Bulk,Domestic General Cargo,9.98,263.1,32.8
Indonesia,Port of Tanjung Priok,JICT - Jakarta International Container Terminal,Dry Bulk,General Cargo,10.9,328.8,30.4
United States,Port of Houston,Barbours Cut / Bayport Container Terminal,Liquid Bulk,Petrochemicals,12.21,203.3,43.1
Australia,Port Hedland,Utah Point / BHP Berths,Dry Bulk,Spodumene,15.69,257.9,57.5
Mozambique,Port of Nacala,General Cargo & Container Pier,Dry Bulk,General Cargo,11.7,209.3,23.4
Russia,Port of Murmansk,Commercial Port / Coal Pier,Dry Bulk,Coal,9.99,184.2,38.5
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,Metals,10.16,220.8,29.7
Mozambique,Port of Beira,Berths 1-10,Dry Bulk,Cotton,6.89,183.8,25.3
Australia,Port of Brisbane,Fisherman Islands Berths 1-10,Liquid Bulk,Oil,10.44,201.3,35.4
Indonesia,Port of Tanjung Perak,Terminal Petikemas Surabaya - TPS,Dry Bulk,Domestic General Cargo,11.98,294.2,35.2
Mozambique,Port of Pemba,Main Pier,Dry Bulk,Fish,5.58,106,18.3
Indonesia,Port of Tanjung Priok,JICT - Jakarta International Container Terminal,Dry Bulk,General Cargo,9.98,306.6,42
Australia,Port of Melbourne,Swanson Dock / Webb Dock / Appleton Dock,Dry Bulk,Breakbulk,11.73,221.9,49.5
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,Metals,7.89,159.5,28.6
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Refrigerated Cargo,8.46,242.2,39.1
United States,Port of Savannah,Garden City Terminal / Ocean Terminal,Dry Bulk,Heavy Machinery,10.67,232.9,48.9
Mozambique,Port of Maputo,Matola Coal Terminal / Container Terminal,Dry Bulk,Sugar,12.34,173.7,31.8
Mozambique,Port of Maputo,Matola Coal Terminal / Container Terminal,Dry Bulk,Sugar,9.39,175.7,28.2
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,General Cargo,9.06,216.1,25.4
Indonesia,Port of Makassar,Soekarno-Hatta Terminal,Dry Bulk,General Cargo,7.15,214.6,25.3
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Metals,10.37,202.7,35
United States,Port of Long Beach,Pier T / Pier G / Pier E,Dry Bulk,Steel Products,10.96,340.6,43.2
Russia,Port of Novorossiysk,Shesex Terminal / NUTEP Container Terminal,Liquid Bulk,Crude Oil,12.88,272.8,36.1
Mozambique,Port of Maputo,Matola Coal Terminal / Container Terminal,Dry Bulk,Coal,9.34,145.1,37.3
Mozambique,Port of Nacala,General Cargo & Container Pier,Dry Bulk,General Cargo,9.98,192,27.4
United States,Port of Houston,Barbours Cut / Bayport Container Terminal,Liquid Bulk,Petrochemicals,9.66,252.6,35.6
Russia,Port of Ust-Luga,Multi-Purpose Cargo Terminal / Oil Terminal,Dry Bulk,Fertilizers,14.24,266.8,39.7
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Refrigerated Cargo,9.3,288.8,34.1
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Dry Bulk,Rubber,9.56,221.6,26.2
Indonesia,Port of Makassar,Soekarno-Hatta Terminal,Dry Bulk,General Cargo,8.66,196.7,27.4
Australia,Port of Newcastle,Carrington & Kooragang Berths,Dry Bulk,Alumina,11.18,257.2,46.9
Australia,Port of Adelaide,Inner Harbor / Outer Harbor Berths,Dry Bulk,Cars,10.64,205.3,30.1
Australia,Fremantle Port,Inner Harbour Berths 1-10,Dry Bulk,Livestock,8.99,248.1,32.3
Russia,Port of Primorsk,Oil Loading Pier Berths 1-6,Liquid Bulk,Petroleum Products,14.89,232.2,34.7
United States,Port of Long Beach,Pier T / Pier G / Pier E,Liquid Bulk,Petroleum,15.5,357.5,42.6
Russia,Port of Primorsk,Oil Loading Pier Berths 1-6,Liquid Bulk,Crude Oil,13.19,201.5,38.5
Indonesia,Port of Tanjung Emas,Semarang Container Terminal - TPJS,Dry Bulk,Wood,7.17,204.2,27.1
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Liquid Bulk,Palm Oil,8.9,148.7,24.9
Mozambique,Port of Pemba,Main Pier,Dry Bulk,Fish,5.69,138.7,20.6
Australia,Port of Sydney / Port Botany,Brotherson Dock B1-B5 / Bulk Liquids Berth,Liquid Bulk,Chemicals,11.41,229.8,49.9
Australia,Port of Newcastle,Carrington & Kooragang Berths,Dry Bulk,Fertilizers,14.64,173.5,48.5
United States,Port of New York and New Jersey,APM / Maher / Port Newark Container Terminal,Dry Bulk,Project Cargo,10.42,321.1,44.4
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Metals,8.55,212.2,26
United States,Port of Savannah,Garden City Terminal / Ocean Terminal,Dry Bulk,Forest Products,10.46,311.5,39.2
United States,Port of New York and New Jersey,APM / Maher / Port Newark Container Terminal,Dry Bulk,Lumber,12.99,216.7,41.4
Russia,Port of Murmansk,Commercial Port / Coal Pier,Dry Bulk,Apatite Concentrate,11.06,178.9,38.4
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Dry Bulk,Rubber,6.92,224.4,23.2
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Liquid Bulk,Palm Oil,6.98,231.3,25.3
Mozambique,Port of Maputo,Matola Coal Terminal / Container Terminal,Dry Bulk,Sugar,13.52,176.4,28.2
United States,Port of Savannah,Garden City Terminal / Ocean Terminal,Dry Bulk,Forest Products,9.54,272.7,39.6
United States,Port of Long Beach,Pier T / Pier G / Pier E,Liquid Bulk,Petroleum,15.09,304.7,53.1
Australia,Port of Darwin,East Arm Wharf / Fort Hill Wharf,Dry Bulk,General Cargo,9.77,278.6,26.4
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Dry Bulk,Rubber,8.52,140.8,24.7
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,General Cargo,9.33,233.1,31
Russia,Port of Novorossiysk,Shesex Terminal / NUTEP Container Terminal,Dry Bulk,Grain,13.25,282.6,45.8
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Timber,9.33,227.1,27.7
United States,Port of Long Beach,Pier T / Pier G / Pier E,Liquid Bulk,Petroleum,14.17,253.7,41.6
Australia,Port of Adelaide,Inner Harbor / Outer Harbor Berths,Dry Bulk,General Cargo,12.38,267.3,33.2
Russia,Port of Vostochny,VSC Container Terminal / Coal Terminal,Dry Bulk,Timber,13.67,215.3,35.4
Indonesia,Port of Makassar,Soekarno-Hatta Terminal,Dry Bulk,Inter-island Freight,8.4,225.2,31.6
Russia,Port of Novorossiysk,Shesex Terminal / NUTEP Container Terminal,Dry Bulk,Grain,10.45,271.2,39
Australia,Port of Newcastle,Carrington & Kooragang Berths,Dry Bulk,Bulk Grain,14.29,210.7,47.7
United States,Port of Savannah,Garden City Terminal / Ocean Terminal,Dry Bulk,Forest Products,10.02,311.9,48.4
Mozambique,Port of Maputo,Matola Coal Terminal / Container Terminal,Dry Bulk,Sugar,12.19,198.8,34.7
Mozambique,Port of Pemba,Main Pier,Dry Bulk,General Cargo,8.01,101.4,19.5
Mozambique,Port of Maputo,Matola Coal Terminal / Container Terminal,Dry Bulk,Magnetite,9.93,175.3,30.4
Australia,Port of Brisbane,Fisherman Islands Berths 1-10,Liquid Bulk,Oil,10.88,283.9,41
Mozambique,Port of Quelimane,Coastal Wharf,Dry Bulk,Timber,6.48,98.1,18.1
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Liquid Bulk,Palm Oil,8.58,195.1,27.7
Australia,Port of Adelaide,Inner Harbor / Outer Harbor Berths,Dry Bulk,General Cargo,8.93,196.8,31.3
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,Vehicles,8.26,224.5,27.1
Mozambique,Port of Quelimane,Coastal Wharf,Dry Bulk,Timber,6.27,149.7,20.1
Australia,Port of Newcastle,Carrington & Kooragang Berths,Dry Bulk,Fertilizers,13.38,193.1,43
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Liquid Bulk,Palm Oil,8.67,158.8,23.4
Russia,Port of Murmansk,Commercial Port / Coal Pier,Dry Bulk,Coal,12.96,191.1,37.1
Mozambique,Port of Beira,Berths 1-10,Dry Bulk,Cotton,9.93,181.5,26.6
Australia,Port of Melbourne,Swanson Dock / Webb Dock / Appleton Dock,Dry Bulk,Breakbulk,11.27,298.7,43.8
Russia,Port of Ust-Luga,Multi-Purpose Cargo Terminal / Oil Terminal,Liquid Bulk,Crude Oil,14.72,244.6,38.9
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Refrigerated Cargo,7.89,266.6,32.7
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,Metals,10.37,178.8,34.2
Russia,Port of Vostochny,VSC Container Terminal / Coal Terminal,Dry Bulk,Coal,10.59,236.4,33.8
Mozambique,Port of Nacala,General Cargo & Container Pier,Dry Bulk,Cement,9.59,159.9,28.1
Australia,Port of Darwin,East Arm Wharf / Fort Hill Wharf,Dry Bulk,General Cargo,12.63,171.4,29
United States,Port of Los Angeles,Pier 400 / APM Terminals / YTI,Liquid Bulk,Crude Oil,13.53,386.4,53.4
Mozambique,Port of Beira,Berths 1-10,Dry Bulk,General Cargo,8.19,168.4,22.8
Australia,Port of Brisbane,Fisherman Islands Berths 1-10,Liquid Bulk,Oil,11.32,205.3,38.6
Mozambique,Port of Maputo,Matola Coal Terminal / Container Terminal,Dry Bulk,Sugar,11.14,176.9,27.8
Australia,Port of Melbourne,Swanson Dock / Webb Dock / Appleton Dock,Dry Bulk,Breakbulk,11.72,214.6,42
Australia,Port of Melbourne,Swanson Dock / Webb Dock / Appleton Dock,Dry Bulk,Breakbulk,12.19,225.5,41.6
Russia,Port of Murmansk,Commercial Port / Coal Pier,Dry Bulk,Coal,14.24,238.5,30.4
Mozambique,Port of Quelimane,Coastal Wharf,Dry Bulk,Agricultural Produce,5.62,146.3,22.7
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Liquid Bulk,Palm Oil,6.9,199.9,27.3
Mozambique,Port of Maputo,Matola Coal Terminal / Container Terminal,Dry Bulk,Sugar,14.08,179,34.8
Indonesia,Port of Tanjung Emas,Semarang Container Terminal - TPJS,Dry Bulk,Furniture,9.57,181.6,24.6
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Liquid Bulk,Palm Oil,10.27,196,27.2
Indonesia,Port of Tanjung Perak,Terminal Petikemas Surabaya - TPS,Dry Bulk,Domestic General Cargo,10.84,173.5,39.9
Mozambique,Port of Pemba,Main Pier,Dry Bulk,Fish,8.36,102.9,21
Mozambique,Port of Quelimane,Coastal Wharf,Dry Bulk,Timber,4.68,129,18.8
United States,Port of Houston,Barbours Cut / Bayport Container Terminal,Liquid Bulk,Petrochemicals,13.2,320.4,36.1
United States,Port of Long Beach,Pier T / Pier G / Pier E,Liquid Bulk,Petroleum,10.96,320.1,47
Russia,Port of Primorsk,Oil Loading Pier Berths 1-6,Liquid Bulk,Petroleum Products,14.28,290.3,41.3
United States,Port of Los Angeles,Pier 400 / APM Terminals / YTI,Liquid Bulk,Crude Oil,13.7,368.8,40.6
Mozambique,Port of Quelimane,Coastal Wharf,Dry Bulk,Copra,6.37,122.2,20.2
Russia,Port of Murmansk,Commercial Port / Coal Pier,Dry Bulk,Coal,10.21,237.3,29.5
United States,Port of New York and New Jersey,APM / Maher / Port Newark Container Terminal,Dry Bulk,Lumber,14.32,327.6,35.8
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Liquid Bulk,Palm Oil,8.49,210.5,24.6
Australia,Port of Darwin,East Arm Wharf / Fort Hill Wharf,Dry Bulk,Live Cattle,12.85,209.7,29.6
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Refrigerated Cargo,8.74,171,37
United States,Port of Los Angeles,Pier 400 / APM Terminals / YTI,Liquid Bulk,Crude Oil,12.18,291.8,57
United States,Port of Los Angeles,Pier 400 / APM Terminals / YTI,Liquid Bulk,Crude Oil,12.27,397.9,41.4
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Timber,9,260.2,30
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,Metals,8.52,264.7,32.3
United States,Port of Houston,Barbours Cut / Bayport Container Terminal,Liquid Bulk,Petrochemicals,12.95,200.5,39
United States,Port of Houston,Barbours Cut / Bayport Container Terminal,Dry Bulk,Steel,10.46,224.5,41.2
Australia,Port of Sydney / Port Botany,Brotherson Dock B1-B5 / Bulk Liquids Berth,Liquid Bulk,Petroleum,13.4,274.7,36.4
United States,Port of Savannah,Garden City Terminal / Ocean Terminal,Dry Bulk,Forest Products,10.38,211.7,49.1
United States,Port of Los Angeles,Pier 400 / APM Terminals / YTI,Dry Bulk,Dry Bulk,15.25,248.7,42.5
Mozambique,Port of Pemba,Main Pier,Dry Bulk,Fish,6.66,100.8,22
Russia,Port of Ust-Luga,Multi-Purpose Cargo Terminal / Oil Terminal,Dry Bulk,General Cargo,10.86,285.4,47.7
Australia,Port of Adelaide,Inner Harbor / Outer Harbor Berths,Dry Bulk,General Cargo,12.4,245.2,33.6
Indonesia,Port of Tanjung Perak,Terminal Petikemas Surabaya - TPS,Dry Bulk,Domestic General Cargo,9.1,251.1,27.4
Indonesia,Port of Tanjung Perak,Terminal Petikemas Surabaya - TPS,Dry Bulk,Domestic General Cargo,9.13,254.3,39.4
Russia,Port of Novorossiysk,Shesex Terminal / NUTEP Container Terminal,Dry Bulk,Grain,14.27,220,41.6
Australia,Port of Adelaide,Inner Harbor / Outer Harbor Berths,Dry Bulk,Grain,9.43,170.6,35.2
Russia,Port of Ust-Luga,Multi-Purpose Cargo Terminal / Oil Terminal,Dry Bulk,Fertilizers,15.82,270.8,36.4
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Metals,10.05,206.1,39.9
Australia,Fremantle Port,Inner Harbour Berths 1-10,Dry Bulk,Livestock,12.13,276.1,40.4
Indonesia,Port of Makassar,Soekarno-Hatta Terminal,Dry Bulk,General Cargo,7.5,136.7,29.6
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,Metals,10.47,219.1,27.5
Australia,Port of Darwin,East Arm Wharf / Fort Hill Wharf,Dry Bulk,Minerals,12.59,239.8,34.1
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Liquid Bulk,Palm Oil,8.17,225.1,26.7
Russia,Port of Novorossiysk,Shesex Terminal / NUTEP Container Terminal,Liquid Bulk,Crude Oil,11.59,193.8,36
Indonesia,Port of Tanjung Perak,Terminal Petikemas Surabaya - TPS,Dry Bulk,Domestic General Cargo,8.07,212.6,28.9
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Metals,7.97,209.5,30.3
Australia,Port of Sydney / Port Botany,Brotherson Dock B1-B5 / Bulk Liquids Berth,Liquid Bulk,Petroleum,12.61,296.3,33
Russia,Port of Novorossiysk,Shesex Terminal / NUTEP Container Terminal,Dry Bulk,Metals,10.58,168.2,37.5
Australia,Port of Sydney / Port Botany,Brotherson Dock B1-B5 / Bulk Liquids Berth,Liquid Bulk,Chemicals,11.72,266.2,36.8
Australia,Fremantle Port,Inner Harbour Berths 1-10,Dry Bulk,Breakbulk,12.78,172.4,33.8
Indonesia,Port of Tanjung Emas,Semarang Container Terminal - TPJS,Dry Bulk,Furniture,9.18,175.1,28.9
Australia,Fremantle Port,Inner Harbour Berths 1-10,Dry Bulk,Livestock,9.21,269.5,34.2
Indonesia,Port of Tanjung Perak,Terminal Petikemas Surabaya - TPS,Dry Bulk,Domestic General Cargo,9.69,231,29.8
United States,Port of Long Beach,Pier T / Pier G / Pier E,Liquid Bulk,Petroleum,12.28,309.8,52.9
Australia,Port of Adelaide,Inner Harbor / Outer Harbor Berths,Dry Bulk,General Cargo,9.6,250.5,30.6
Mozambique,Port of Beira,Berths 1-10,Dry Bulk,General Cargo,9.64,162.7,27
Australia,Port of Melbourne,Swanson Dock / Webb Dock / Appleton Dock,Dry Bulk,Breakbulk,13.24,202.2,40.9
United States,Port of Houston,Barbours Cut / Bayport Container Terminal,Liquid Bulk,Petrochemicals,11.23,190.7,39.2
United States,Port of Houston,Barbours Cut / Bayport Container Terminal,Liquid Bulk,Petrochemicals,11.55,235.1,33.1
Australia,Port Hedland,Utah Point / BHP Berths,Dry Bulk,Iron Ore,16.31,288.9,56.2
United States,Port of New York and New Jersey,APM / Maher / Port Newark Container Terminal,Dry Bulk,Lumber,11.05,203.6,37
Australia,Port of Newcastle,Carrington & Kooragang Berths,Dry Bulk,Fertilizers,12.46,246.1,44
Russia,Port of Novorossiysk,Shesex Terminal / NUTEP Container Terminal,Dry Bulk,Metals,10.56,225.5,42.7
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,Metals,9.92,253.7,25.7
United States,Port of Long Beach,Pier T / Pier G / Pier E,Dry Bulk,Steel Products,10.6,270.8,51.5
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Metals,7.77,240.3,27.4
Australia,Fremantle Port,Inner Harbour Berths 1-10,Dry Bulk,Livestock,12.29,265.2,41
Australia,Port of Melbourne,Swanson Dock / Webb Dock / Appleton Dock,Dry Bulk,Breakbulk,12.89,241.7,49.2
United States,Port of Savannah,Garden City Terminal / Ocean Terminal,Dry Bulk,Heavy Machinery,10.65,326.4,37.5
Indonesia,Port of Makassar,Soekarno-Hatta Terminal,Dry Bulk,General Cargo,6.82,228.1,31.3
Australia,Port of Melbourne,Swanson Dock / Webb Dock / Appleton Dock,Dry Bulk,Breakbulk,11.28,288.7,34.3
Australia,Port of Newcastle,Carrington & Kooragang Berths,Dry Bulk,Fertilizers,13.35,172.2,48.8
Australia,Port of Brisbane,Fisherman Islands Berths 1-10,Liquid Bulk,Oil,9.92,283,42.3
United States,Port of New York and New Jersey,APM / Maher / Port Newark Container Terminal,Dry Bulk,Lumber,13.48,207.3,36.9
Australia,Port Hedland,Utah Point / BHP Berths,Dry Bulk,Spodumene,18.21,258,51.5
United States,Port of Houston,Barbours Cut / Bayport Container Terminal,Liquid Bulk,Petrochemicals,12.66,258.1,36.8
Australia,Port of Adelaide,Inner Harbor / Outer Harbor Berths,Dry Bulk,General Cargo,12.36,173.4,41.9
United States,Port of Long Beach,Pier T / Pier G / Pier E,Liquid Bulk,Petroleum,14.09,396,40.7
Russia,Port of Novorossiysk,Shesex Terminal / NUTEP Container Terminal,Liquid Bulk,Crude Oil,11.19,271,43.2
Australia,Port of Darwin,East Arm Wharf / Fort Hill Wharf,Dry Bulk,General Cargo,12.83,202.1,35.1
Australia,Port Hedland,Utah Point / BHP Berths,Dry Bulk,Manganese,14.05,205.4,53.8
Indonesia,Port of Tanjung Perak,Terminal Petikemas Surabaya - TPS,Dry Bulk,Domestic General Cargo,9.32,286.8,33.7
United States,Port of Savannah,Garden City Terminal / Ocean Terminal,Dry Bulk,Heavy Machinery,11.75,286.4,45.3
Australia,Port Hedland,Utah Point / BHP Berths,Dry Bulk,Manganese,13.49,236.4,59.3
Mozambique,Port of Maputo,Matola Coal Terminal / Container Terminal,Dry Bulk,Sugar,11.1,178.9,31.1
Australia,Port of Sydney / Port Botany,Brotherson Dock B1-B5 / Bulk Liquids Berth,Liquid Bulk,Petroleum,12.56,272.6,44.9
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Liquid Bulk,Palm Oil,8.15,217,26.1
Indonesia,Port of Belawan,Container Terminal ODT / General Berths,Dry Bulk,Rubber,10.21,211.4,28.1
Mozambique,Port of Pemba,Main Pier,Dry Bulk,General Cargo,6.33,114.4,21.8
Indonesia,Port of Tanjung Perak,Terminal Petikemas Surabaya - TPS,Dry Bulk,Domestic General Cargo,9.84,268.5,29.5
Russia,Port of Murmansk,Commercial Port / Coal Pier,Dry Bulk,Apatite Concentrate,13.81,293.9,34.1
Mozambique,Port of Maputo,Matola Coal Terminal / Container Terminal,Dry Bulk,Sugar,12.31,247.4,36
Australia,Port Hedland,Utah Point / BHP Berths,Dry Bulk,Manganese,15.18,337.1,41.8
United States,Port of Los Angeles,Pier 400 / APM Terminals / YTI,Liquid Bulk,Crude Oil,12.09,300,54
Mozambique,Port of Beira,Berths 1-10,Dry Bulk,General Cargo,6.75,205.6,25.6
Russia,Port of Murmansk,Commercial Port / Coal Pier,Dry Bulk,Apatite Concentrate,11.74,280.4,35.7
Indonesia,Port of Makassar,Soekarno-Hatta Terminal,Dry Bulk,Inter-island Freight,9.36,137.3,21
Australia,Fremantle Port,Inner Harbour Berths 1-10,Dry Bulk,Livestock,11.28,262.6,43.8
Russia,Port of Novorossiysk,Shesex Terminal / NUTEP Container Terminal,Dry Bulk,Grain,11.41,181.9,39.4
Indonesia,Port of Tanjung Emas,Semarang Container Terminal - TPJS,Dry Bulk,Textiles,9.42,153.4,24.6
Australia,Port of Adelaide,Inner Harbor / Outer Harbor Berths,Dry Bulk,Cars,10.88,298.4,39.8
Australia,Port Hedland,Utah Point / BHP Berths,Dry Bulk,Iron Ore,13.08,330,42.1
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,General Cargo,8.89,249.5,27.1
Russia,Port of Vostochny,VSC Container Terminal / Coal Terminal,Dry Bulk,Potash,10.95,181.8,30.8
Russia,Port of Novorossiysk,Shesex Terminal / NUTEP Container Terminal,Dry Bulk,Grain,14.64,195.3,44.5
Russia,Port of Vladivostok,Commercial Sea Port Berths,Dry Bulk,General Cargo,8.16,206,34.6
Mozambique,Port of Maputo,Matola Coal Terminal / Container Terminal,Dry Bulk,Magnetite,11.22,247.9,28.1
Australia,Port of Newcastle,Carrington & Kooragang Berths,Dry Bulk,Fertilizers,11.59,205.9,35.5
United States,Port of Savannah,Garden City Terminal / Ocean Terminal,Dry Bulk,Forest Products,9.83,264.1,48.5
Australia,Port of Newcastle,Carrington & Kooragang Berths,Dry Bulk,Fertilizers,11.43,234.7,44.2
Indonesia,Port of Tanjung Priok,JICT - Jakarta International Container Terminal,Dry Bulk,General Cargo,12.13,195.7,44
Australia,Port of Adelaide,Inner Harbor / Outer Harbor Berths,Dry Bulk,General Cargo,9.45,230.2,40
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Refrigerated Cargo,10.86,186,37
Australia,Port of Newcastle,Carrington & Kooragang Berths,Dry Bulk,Alumina,13.89,230.5,46.6
Russia,Port of Saint Petersburg,Container Terminal Saint Petersburg / Lesnoy Mol,Dry Bulk,Timber,7.74,184.8,30.8
Australia,Port of Brisbane,Fisherman Islands Berths 1-10,Dry Bulk,General Cargo,10.11,292.3,37.1
Mozambique,Port of Nacala,General Cargo & Container Pier,Dry Bulk,Cement,12.38,198.8,29.9
