cargo_category,cargo_type,vessel_type,min_dwt,max_dwt,draft,loa,beam
Dry Bulk,Iron Ore,Handysize,13470,39363,8.1,183.5,30.5
Bulk Gases,Propane,Gas Carrier,22099,22599,9.3,162.6,29.3
Liquid Bulk,Diesel,Aframax,97088,103804,14.0,247.4,41.5
Bulk Gases,LNG,Gas Carrier,20067,34011,9.1,166.5,27.8
Liquid Bulk,Vegetable Oil,MR Tanker,38170,40935,9.8,181.4,32.1
Liquid Bulk,Crude Oil,LR1 Tanker,71992,83327,13.4,225.7,34.9
Dry Bulk,Bauxite,Panamax,66059,90433,12.5,232.1,32.0
Bulk Gases,Ammonia,LNG Carrier,123413,176644,11.9,290.9,46.2
Liquid Bulk,Diesel,LR1 Tanker,62263,70509,12.4,232.6,34.3
Dry Bulk,Steel Products,Supramax,47539,57217,11.3,206.4,34.2
Liquid Bulk,Chemicals,MR Tanker,32938,52853,10.7,198.0,31.2
Liquid Bulk,Crude Oil,LR1 Tanker,63939,71865,11.9,223.2,34.3
Bulk Gases,LNG,Gas Carrier,26555,34612,9.9,176.4,27.7
Dry Bulk,Coal,Handysize,16562,34894,7.0,193.3,31.7
Bulk Gases,LPG,LNG Carrier,102239,102739,12.5,290.7,48.0
Liquid Bulk,Fuel Oil,MR Tanker,22824,49922,11.2,186.1,31.8
Dry Bulk,Salt,Supramax,53739,54239,10.4,200.1,32.7
Dry Bulk,Coal,Capesize,181622,182122,15.2,300.0,45.3
Bulk Gases,Ethylene,LNG Carrier,119998,190168,12.2,298.8,46.7
Dry Bulk,Clinker,Supramax,57000,62437,10.4,204.0,33.0
Dry Bulk,Clinker,Supramax,54298,54798,10.9,204.6,30.7
Liquid Bulk,Chemicals,MR Tanker,29598,38128,10.5,188.3,33.5
Dry Bulk,Steel Products,Capesize,150545,205276,15.5,277.9,44.7
Liquid Bulk,Gasoline,LR1 Tanker,65607,67830,11.8,225.8,33.7
Dry Bulk,Grain,Handysize,31779,32732,7.4,176.1,28.7
Bulk Gases,LPG,LNG Carrier,114617,172147,11.6,295.6,45.9
Liquid Bulk,Chemicals,Aframax,84822,108355,13.6,242.1,40.8
Liquid Bulk,Crude Oil,Aframax,128672,129172,14.0,245.4,42.0
Dry Bulk,Iron Ore,Supramax,45380,57534,11.0,195.3,31.4
Liquid Bulk,Crude Oil,LR1 Tanker,67891,68391,12.2,236.1,36.4
Dry Bulk,Grain,Panamax,73972,93967,12.7,252.3,33.4
Dry Bulk,Iron Ore,Capesize,132834,154672,15.5,293.7,43.7
Dry Bulk,Fertilizer,Panamax,64693,85254,12.1,241.6,33.2
Bulk Gases,Butane,Gas Carrier,23867,38607,9.1,159.4,29.8
Bulk Gases,LPG,Gas Carrier,25672,26172,9.0,160.6,26.9
Bulk Gases,Butane,LNG Carrier,142826,217890,11.8,293.0,44.9
Dry Bulk,Salt,Supramax,47074,53891,10.0,199.6,31.2
Dry Bulk,Clinker,Supramax,50009,56157,10.4,190.7,31.8
Dry Bulk,Grain,Supramax,52697,57510,10.2,200.7,33.2
Liquid Bulk,Gasoline,Suezmax,117613,187578,15.7,277.4,47.4
Dry Bulk,Cement,Panamax,60067,83171,12.8,235.4,31.5
Dry Bulk,Fertilizer,Handysize,31574,32074,7.5,172.3,29.4
Liquid Bulk,Chemicals,Suezmax,161338,168815,15.7,284.1,47.2
Dry Bulk,Cement,Handysize,28224,28724,7.8,192.5,27.0
Bulk Gases,LNG,Gas Carrier,20236,36055,8.9,172.5,27.7
Dry Bulk,Clinker,Handysize,19459,26958,8.2,179.2,30.8
Dry Bulk,Bauxite,Capesize,153175,171182,16.0,292.3,44.4
Liquid Bulk,Petroleum Products,LR1 Tanker,66391,86165,13.2,228.4,36.6
Liquid Bulk,Diesel,Aframax,94412,94912,13.7,230.3,41.8
Dry Bulk,Salt,Supramax,50110,62077,10.6,197.7,33.0
Liquid Bulk,Fuel Oil,Suezmax,102874,175977,16.4,268.2,49.0
Liquid Bulk,Diesel,Aframax,102066,107065,14.4,261.4,42.5
Dry Bulk,Bauxite,Panamax,79642,87177,12.2,235.4,32.0
Liquid Bulk,Gasoline,MR Tanker,41585,48353,11.1,187.1,33.4
Dry Bulk,Iron Ore,Handysize,19239,29637,7.2,175.3,30.2
Liquid Bulk,Diesel,Aframax,106357,106857,14.5,254.5,42.8
Liquid Bulk,Gasoline,MR Tanker,57284,57784,10.3,169.7,34.0
Dry Bulk,Clinker,Supramax,51509,56139,10.7,189.1,34.7
Bulk Gases,LPG,LNG Carrier,120461,149134,12.3,295.4,46.8
Dry Bulk,Cement,Handysize,15410,33543,8.5,191.9,31.4
Dry Bulk,Fertilizer,Panamax,76521,82041,12.6,228.5,33.4
Liquid Bulk,Diesel,MR Tanker,25824,55201,10.2,183.9,30.7
Liquid Bulk,Fuel Oil,MR Tanker,22215,54933,11.2,177.5,31.0
Bulk Gases,Ammonia,LNG Carrier,100615,180111,11.9,276.3,45.5
Dry Bulk,Grain,Supramax,46565,47065,10.6,198.4,33.1
Dry Bulk,Fertilizer,Handysize,41781,42281,7.4,173.0,32.2
Dry Bulk,Cement,Capesize,150516,179641,16.1,289.0,44.8
Bulk Gases,LPG,LNG Carrier,99057,131276,12.0,287.2,45.7
Dry Bulk,Coal,Capesize,163767,173325,16.8,268.4,46.2
Liquid Bulk,Petroleum Products,MR Tanker,44996,45496,10.5,177.9,30.7
Dry Bulk,Clinker,Supramax,45916,52469,11.4,203.7,33.6
Dry Bulk,Iron Ore,Capesize,151830,152330,16.1,295.3,43.2
Dry Bulk,Steel Products,Supramax,50308,54318,10.4,204.5,32.4
Dry Bulk,Coal,Handysize,20478,39107,7.1,184.2,31.1
Liquid Bulk,Vegetable Oil,LR1 Tanker,63234,74355,12.0,238.1,34.6
Liquid Bulk,Vegetable Oil,Aframax,90499,118445,13.6,236.2,40.1
Dry Bulk,Cement,Panamax,84901,85401,13.7,220.3,34.2
Dry Bulk,Grain,Supramax,49450,54924,10.4,202.7,32.4
Dry Bulk,Clinker,Panamax,86715,88924,12.6,225.0,32.4
Dry Bulk,Clinker,Handysize,21082,21582,6.9,182.3,30.6
Bulk Gases,Butane,LPG Carrier,31639,49204,10.1,183.2,29.3
Dry Bulk,Salt,Handysize,26596,27096,7.9,168.1,31.2
Dry Bulk,Grain,Supramax,51010,56450,11.1,211.5,33.4
Bulk Gases,Ethylene,Gas Carrier,8781,20450,9.0,166.4,28.6
Dry Bulk,Clinker,Capesize,119965,179978,15.8,285.8,43.7
Liquid Bulk,Gasoline,Suezmax,134103,162222,15.5,281.0,47.2
Dry Bulk,Cement,Panamax,105775,106275,12.9,228.2,33.1
Bulk Gases,Propane,LNG Carrier,128741,158452,12.8,289.5,46.6
Dry Bulk,Grain,Panamax,68994,87449,13.4,226.2,34.1
Liquid Bulk,Vegetable Oil,MR Tanker,41371,45828,11.1,188.5,33.0
Dry Bulk,Cement,Panamax,62485,87904,12.7,233.3,33.1
Dry Bulk,Steel Products,Handysize,25015,25515,7.8,185.0,30.8
Liquid Bulk,Crude Oil,Aframax,117165,118618,14.7,242.8,40.6
Dry Bulk,Cement,Panamax,83084,92817,12.9,225.5,31.3
Liquid Bulk,Chemicals,MR Tanker,47556,48241,11.0,183.7,32.1
Dry Bulk,Coal,Panamax,88999,89499,12.6,227.2,32.0
Dry Bulk,Salt,Supramax,48143,56830,10.2,208.3,31.1
Dry Bulk,Salt,Supramax,48877,54442,11.1,200.7,33.2
Dry Bulk,Iron Ore,Handysize,11247,33294,8.1,179.3,30.9
Bulk Gases,LNG,LNG Carrier,112216,186725,13.3,287.9,45.8
Liquid Bulk,Diesel,Suezmax,195906,205942,15.9,270.4,48.0
Dry Bulk,Clinker,Supramax,43704,53137,10.1,191.7,32.3
Dry Bulk,Bauxite,Panamax,79490,102024,12.1,236.4,32.7
Bulk Gases,Butane,LPG Carrier,33351,57688,9.5,188.1,30.6
Dry Bulk,Salt,Capesize,156756,182268,17.5,288.4,44.4
Dry Bulk,Steel Products,Panamax,71239,83911,12.3,238.2,33.4
Bulk Gases,Ammonia,LNG Carrier,94351,116468,12.2,283.6,46.1
Dry Bulk,Grain,Supramax,49402,49902,11.4,212.3,31.9
Dry Bulk,Cement,Handysize,18583,32481,7.7,187.5,31.9
Dry Bulk,Steel Products,Capesize,143402,163744,15.5,285.3,44.7
Dry Bulk,Bauxite,Handysize,40479,40979,7.8,177.8,31.1
Dry Bulk,Steel Products,Panamax,108724,109224,12.4,237.2,32.8
Dry Bulk,Coal,Supramax,58508,59008,10.3,204.0,33.3
Liquid Bulk,Petroleum Products,MR Tanker,42245,50544,11.1,188.2,33.7
Bulk Gases,Propane,Gas Carrier,28388,28888,9.4,177.9,27.0
Dry Bulk,Coal,Capesize,171504,172004,16.0,300.1,45.2
Bulk Gases,LPG,LNG Carrier,117940,118440,12.3,296.7,49.1
Liquid Bulk,Petroleum Products,LR1 Tanker,62091,72734,12.9,240.6,35.2
Liquid Bulk,Gasoline,Aframax,100783,113982,14.6,239.3,41.8
Dry Bulk,Cement,Supramax,56723,57223,10.9,192.3,33.1
Dry Bulk,Steel Products,Handysize,10920,29550,7.8,191.1,30.2
Liquid Bulk,Diesel,MR Tanker,31061,57230,9.5,171.2,32.4
Dry Bulk,Iron Ore,Panamax,74937,76968,13.0,231.1,31.7
Dry Bulk,Iron Ore,Handysize,12928,37417,8.0,178.0,31.7
Dry Bulk,Cement,Panamax,67636,83707,12.5,233.5,32.7
Bulk Gases,LNG,LPG Carrier,33574,52442,9.4,191.2,30.0
Liquid Bulk,Gasoline,MR Tanker,50679,51179,11.1,189.0,32.7
Liquid Bulk,Gasoline,MR Tanker,46552,54548,11.0,190.2,32.1
Dry Bulk,Salt,Supramax,58647,59147,11.3,199.0,30.5
Dry Bulk,Coal,Capesize,164406,164906,16.4,284.5,44.4
Dry Bulk,Coal,Handysize,9340,28934,6.5,167.6,31.2
Liquid Bulk,Chemicals,LR1 Tanker,69561,73391,12.1,231.2,35.1
Liquid Bulk,Gasoline,MR Tanker,30889,55145,11.3,182.5,32.3
Liquid Bulk,Gasoline,LR1 Tanker,64272,64772,12.8,221.0,34.0
Liquid Bulk,Crude Oil,MR Tanker,36289,57221,11.2,180.0,32.3
Dry Bulk,Steel Products,Capesize,188254,193229,16.2,285.9,45.3
Bulk Gases,LNG,LNG Carrier,134872,174225,12.6,297.3,45.8
Dry Bulk,Bauxite,Capesize,196646,197146,17.3,285.4,46.9
Liquid Bulk,Gasoline,MR Tanker,42684,47758,10.6,181.7,32.7
Dry Bulk,Salt,Handysize,29213,29713,7.7,191.2,31.8
Bulk Gases,Ammonia,LNG Carrier,121200,138613,12.0,292.5,44.9
Bulk Gases,LNG,LPG Carrier,33372,33872,10.4,185.4,29.5
Dry Bulk,Steel Products,Handysize,36585,37085,6.9,182.5,31.3
Bulk Gases,Ammonia,LNG Carrier,154462,154962,12.5,287.5,45.5
Dry Bulk,Bauxite,Capesize,185742,189962,15.4,299.2,46.5
Dry Bulk,Iron Ore,Panamax,73423,94781,12.9,231.2,31.7
Dry Bulk,Steel Products,Supramax,44738,55161,11.1,203.2,31.5
Dry Bulk,Steel Products,Capesize,170395,170895,16.8,277.6,44.4
Dry Bulk,Cement,Capesize,117322,145648,16.8,284.9,45.3
Liquid Bulk,Chemicals,Aframax,92214,113300,14.1,237.3,43.4
Dry Bulk,Cement,Panamax,73573,83544,12.6,243.5,33.3
Dry Bulk,Clinker,Supramax,47592,55117,10.4,211.8,32.7
Liquid Bulk,Chemicals,Suezmax,166967,198479,16.0,275.2,47.7
Dry Bulk,Steel Products,Capesize,146400,176768,16.6,291.2,45.4
Liquid Bulk,Fuel Oil,Aframax,91312,107894,13.6,254.7,42.7
Dry Bulk,Steel Products,Capesize,176834,177334,17.3,289.8,45.7
Dry Bulk,Iron Ore,Supramax,41892,57528,10.1,194.7,34.3
Bulk Gases,LNG,LPG Carrier,34205,50984,10.7,184.3,30.2
Dry Bulk,Coal,Panamax,82406,107470,12.5,232.1,33.5
Dry Bulk,Cement,Supramax,56904,60398,11.1,189.1,33.5
Dry Bulk,Cement,Panamax,66851,93316,12.4,233.4,32.8
Liquid Bulk,Vegetable Oil,LR1 Tanker,66875,74842,13.6,234.5,34.6
Dry Bulk,Coal,Supramax,54346,60462,9.9,204.1,32.9
Liquid Bulk,Gasoline,MR Tanker,38375,54707,10.8,185.4,32.0
Dry Bulk,Salt,Supramax,50093,52073,9.7,210.7,31.2
Liquid Bulk,Crude Oil,Suezmax,134033,142348,15.8,264.2,48.8
Dry Bulk,Grain,Supramax,54215,54715,11.7,206.7,32.2
Dry Bulk,Salt,Capesize,63733,222231,15.5,280.8,46.3
Dry Bulk,Grain,Panamax,103444,103944,12.8,234.8,33.2
Dry Bulk,Bauxite,Panamax,85188,92647,12.7,229.5,32.1
Liquid Bulk,Chemicals,LR1 Tanker,64072,64572,12.4,225.9,34.0
Dry Bulk,Clinker,Capesize,138428,211402,16.8,279.0,44.0
Bulk Gases,Butane,Gas Carrier,33401,33901,8.9,173.8,26.8
Dry Bulk,Steel Products,Capesize,151435,154576,15.9,293.3,43.3
Dry Bulk,Bauxite,Handysize,29719,35764,7.9,179.4,31.3
Liquid Bulk,Petroleum Products,MR Tanker,37751,45561,10.7,184.0,32.3
Liquid Bulk,Petroleum Products,Suezmax,153924,158554,15.7,267.7,49.9
Liquid Bulk,Gasoline,Suezmax,127017,171037,15.6,279.8,47.9
Dry Bulk,Coal,Panamax,92558,93058,12.8,224.4,34.6
Bulk Gases,Ammonia,LNG Carrier,77905,145529,12.3,291.0,45.5
Liquid Bulk,Petroleum Products,LR1 Tanker,63372,71465,12.8,236.7,37.8
Dry Bulk,Fertilizer,Panamax,75921,78481,12.7,248.7,31.6
Liquid Bulk,Vegetable Oil,LR1 Tanker,74480,81227,12.4,235.4,36.1
Liquid Bulk,Vegetable Oil,Aframax,92526,104677,13.7,238.8,40.9
Liquid Bulk,Fuel Oil,LR1 Tanker,56218,70739,12.3,234.4,33.9
Dry Bulk,Clinker,Panamax,79052,95474,11.6,228.1,33.6
Dry Bulk,Coal,Supramax,44095,62802,10.6,194.8,32.0
Liquid Bulk,Fuel Oil,LR1 Tanker,67177,71018,12.9,226.2,35.3
Dry Bulk,Clinker,Supramax,43433,55945,10.1,191.9,33.6
Dry Bulk,Bauxite,Handysize,34890,39332,7.3,175.7,31.1
Dry Bulk,Iron Ore,Supramax,46925,65036,10.8,199.8,31.8
Liquid Bulk,Petroleum Products,MR Tanker,37805,47034,11.0,186.8,31.3
Dry Bulk,Steel Products,Supramax,42085,48051,10.8,190.4,29.7
Dry Bulk,Iron Ore,Supramax,47976,65800,10.6,203.9,32.2
Bulk Gases,LNG,LPG Carrier,35350,58582,10.0,182.7,30.4
Dry Bulk,Salt,Panamax,72304,96035,12.4,225.7,32.4
Liquid Bulk,Vegetable Oil,Suezmax,142282,182900,16.1,281.3,48.3
Bulk Gases,Propane,Gas Carrier,21977,36578,10.0,172.6,28.0
Dry Bulk,Iron Ore,Capesize,106362,152390,16.2,289.0,44.4
Liquid Bulk,Gasoline,Aframax,98412,113470,14.4,246.8,41.7
Liquid Bulk,Chemicals,MR Tanker,23237,43691,10.6,175.6,32.6
Dry Bulk,Steel Products,Supramax,53598,60048,10.5,210.6,32.1
Dry Bulk,Steel Products,Supramax,46084,52853,10.4,196.0,32.1
Dry Bulk,Coal,Handysize,24278,31808,7.8,188.5,31.4
Dry Bulk,Clinker,Handysize,7933,8433,8.1,169.1,30.2
Liquid Bulk,Diesel,LR1 Tanker,58805,59305,12.5,237.8,34.6
Liquid Bulk,Diesel,LR1 Tanker,52414,65960,12.5,220.2,35.4
Liquid Bulk,Fuel Oil,Suezmax,142434,183391,16.1,270.6,49.1
Liquid Bulk,Gasoline,Suezmax,151003,179943,15.5,269.8,47.3
Dry Bulk,Grain,Supramax,47160,62748,10.0,188.8,33.9
Dry Bulk,Grain,Supramax,46943,52448,11.2,195.8,34.2
Liquid Bulk,Crude Oil,Suezmax,180397,180897,17.3,268.9,48.1
Dry Bulk,Steel Products,Capesize,156953,199682,17.0,291.1,44.0
Dry Bulk,Steel Products,Supramax,49291,52600,11.5,200.1,31.6
Liquid Bulk,Crude Oil,Suezmax,166697,167197,15.6,280.8,47.0
Liquid Bulk,Gasoline,MR Tanker,31858,51831,11.5,190.2,33.4
Dry Bulk,Coal,Capesize,138298,147903,16.8,287.2,44.7
Dry Bulk,Coal,Panamax,93483,95648,12.9,246.9,31.8
Bulk Gases,LNG,LPG Carrier,48167,49247,10.3,191.8,30.6
Dry Bulk,Salt,Capesize,158182,197907,16.0,286.9,43.8
Bulk Gases,Butane,LNG Carrier,59530,222648,11.9,287.6,45.1
Dry Bulk,Grain,Capesize,161876,189615,16.5,284.3,45.4
Dry Bulk,Iron Ore,Handysize,25732,29781,8.5,182.5,30.6
Dry Bulk,Clinker,Handysize,23686,37505,7.7,169.5,30.9
Dry Bulk,Salt,Capesize,121193,165942,16.5,302.5,45.1
Bulk Gases,Butane,LNG Carrier,125048,211174,12.4,307.2,45.8
Bulk Gases,Butane,LPG Carrier,11566,58703,10.2,192.8,31.2
Liquid Bulk,Diesel,MR Tanker,32980,39303,10.2,180.9,31.2
Dry Bulk,Coal,Handysize,27397,42330,7.8,170.5,30.9
Bulk Gases,LPG,LPG Carrier,54367,54867,9.9,180.4,29.0
Dry Bulk,Iron Ore,Capesize,150189,172055,16.5,287.4,44.1
Liquid Bulk,Crude Oil,LR1 Tanker,74872,75372,13.8,224.0,35.1
Dry Bulk,Cement,Capesize,175107,175607,15.1,278.4,46.2
Dry Bulk,Salt,Panamax,73193,106807,12.2,231.0,33.4
Bulk Gases,LNG,LNG Carrier,174988,202580,12.8,297.1,46.7
Bulk Gases,Ethylene,Gas Carrier,29677,30177,8.9,166.3,27.8
Dry Bulk,Iron Ore,Handysize,19704,36218,8.2,179.4,31.3
Dry Bulk,Iron Ore,Handysize,14064,30156,7.3,164.5,29.7
Dry Bulk,Steel Products,Capesize,144973,203305,16.5,283.1,46.4
Liquid Bulk,Chemicals,LR1 Tanker,71800,74154,12.4,226.1,34.7
Liquid Bulk,Vegetable Oil,LR1 Tanker,71303,82279,13.6,227.3,33.8
Dry Bulk,Iron Ore,Capesize,138844,139344,16.5,291.6,44.1
Dry Bulk,Clinker,Supramax,42726,58118,10.3,188.8,29.6
Liquid Bulk,Crude Oil,Suezmax,160804,214583,17.1,269.9,47.0
Dry Bulk,Clinker,Capesize,144317,149079,16.4,295.4,45.3
Dry Bulk,Fertilizer,Panamax,81858,89402,12.2,221.5,32.1
Bulk Gases,LNG,Gas Carrier,28003,38119,8.6,180.1,28.0
Bulk Gases,Butane,Gas Carrier,23733,31634,7.9,177.2,28.9
Liquid Bulk,Vegetable Oil,Aframax,93906,107651,14.0,235.2,41.1
Liquid Bulk,Diesel,Suezmax,180294,180794,16.2,263.4,48.7
Dry Bulk,Steel Products,Supramax,47297,48919,11.1,193.3,31.1
Dry Bulk,Fertilizer,Capesize,146193,193784,15.5,293.1,45.2
Dry Bulk,Bauxite,Handysize,31726,36877,7.6,172.2,29.9
Dry Bulk,Bauxite,Capesize,136577,137077,16.4,295.6,42.2
Dry Bulk,Cement,Panamax,68258,94980,13.8,233.9,31.7
Dry Bulk,Iron Ore,Panamax,78852,107089,12.2,224.2,31.8
Liquid Bulk,Chemicals,Aframax,83232,110300,14.8,248.0,41.9
Dry Bulk,Steel Products,Handysize,21124,23520,8.0,180.6,30.1
Dry Bulk,Clinker,Capesize,199857,200357,15.8,287.1,45.3
Liquid Bulk,Petroleum Products,Suezmax,155687,156187,16.5,272.7,50.0
Liquid Bulk,Chemicals,MR Tanker,47772,48272,11.3,184.0,32.8
Dry Bulk,Iron Ore,Panamax,87040,87540,12.2,236.4,31.9
Dry Bulk,Salt,Panamax,74327,82642,12.7,241.5,30.8
Dry Bulk,Fertilizer,Handysize,26393,42918,7.5,184.6,29.0
Dry Bulk,Cement,Panamax,83071,90742,13.3,241.4,35.1
Dry Bulk,Coal,Handysize,27332,33846,7.7,176.9,30.8
Liquid Bulk,Chemicals,Suezmax,156296,184957,16.6,270.0,49.3
Bulk Gases,Ammonia,LNG Carrier,144683,145183,11.1,283.2,46.7
Bulk Gases,LPG,LNG Carrier,115830,118965,11.8,298.3,47.2
Bulk Gases,Ethylene,Gas Carrier,21562,27052,9.1,161.1,29.8
Bulk Gases,Butane,LPG Carrier,29878,64698,10.6,191.3,29.8
Liquid Bulk,Fuel Oil,LR1 Tanker,66226,70351,12.2,235.0,34.2
Dry Bulk,Steel Products,Supramax,52218,53437,10.7,201.2,31.7
Dry Bulk,Grain,Handysize,31069,31569,8.2,170.2,29.8
Bulk Gases,LNG,LPG Carrier,60788,61288,9.7,184.4,30.2
Dry Bulk,Grain,Panamax,80545,93036,12.9,238.4,32.8
Dry Bulk,Grain,Handysize,23989,35479,8.7,178.9,28.7
Dry Bulk,Bauxite,Handysize,35016,35516,6.9,183.7,29.3
Dry Bulk,Fertilizer,Panamax,81983,94418,12.8,233.8,31.9
Dry Bulk,Fertilizer,Capesize,154033,169656,16.5,296.7,43.8
Dry Bulk,Salt,Panamax,85719,86219,12.9,232.0,33.7
Dry Bulk,Salt,Supramax,48657,54768,10.4,197.1,33.0
Bulk Gases,Ethylene,Gas Carrier,10573,22084,8.8,171.7,30.0
Dry Bulk,Coal,Panamax,77008,91007,12.6,239.3,31.5
Dry Bulk,Salt,Supramax,51431,59547,10.7,200.6,33.2
Dry Bulk,Grain,Supramax,32067,58275,10.4,187.4,32.9
Liquid Bulk,Fuel Oil,LR1 Tanker,72190,72690,13.0,244.1,36.1
Dry Bulk,Steel Products,Handysize,37132,37632,7.7,170.8,30.0
Dry Bulk,Bauxite,Capesize,142331,214980,16.1,290.6,45.5
Bulk Gases,Ethylene,LPG Carrier,45876,64358,9.9,181.1,28.7
Dry Bulk,Steel Products,Capesize,110878,166936,16.2,287.6,44.1
Bulk Gases,Butane,Gas Carrier,9816,33713,8.3,176.0,28.1
Dry Bulk,Salt,Capesize,96126,170322,15.8,295.6,46.7
Liquid Bulk,Petroleum Products,MR Tanker,24820,48457,10.6,184.9,32.4
Dry Bulk,Salt,Capesize,118064,170126,15.8,301.2,45.1
Dry Bulk,Coal,Supramax,58765,59265,10.2,189.0,30.0
Dry Bulk,Steel Products,Capesize,103363,181977,16.5,278.8,45.5
Dry Bulk,Grain,Capesize,141203,177934,16.8,294.6,45.4
Dry Bulk,Iron Ore,Panamax,70165,70665,12.2,228.1,31.4
Liquid Bulk,Petroleum Products,MR Tanker,36093,48254,10.5,176.1,32.4
Dry Bulk,Coal,Supramax,51883,52383,11.0,199.1,32.1
Liquid Bulk,Vegetable Oil,Aframax,107874,109478,14.2,247.5,41.0
Liquid Bulk,Gasoline,Suezmax,162496,165004,16.1,272.9,48.0
